"year","consumption","storage_costs","price_wine","price_beer","advertising","income"
1955,-0.0943106794712413,4.44734610079452,4.3502779363593,3.57515068878559,4.48975933447676,6.96224346426621
1956,0.048790164169432,4.4818719696436,4.38452351487247,3.62167070442049,4.4224485491728,6.94408720822953
1957,0.165514438477573,4.48975933447676,4.37575702166029,3.62966009445396,4.43556740160191,6.91373735065968
1958,0.2390169004705,4.50534985070588,4.4414740933173,3.61361696961339,4.50092016461429,6.95368421087054
1959,0.2390169004705,4.53367418428302,4.55282370561588,3.58905911883173,4.49312068217947,6.99484998583307
1960,0.314810739840034,4.57677071146639,4.52936847257181,3.55534806148941,4.49200148788245,6.99668148817654
1961,0.378436435720245,4.60816569496789,4.52720864451838,3.62700405039585,4.49758497530815,7.00488198971286
1962,0.46373401623214,4.60816569496789,4.52936847257181,3.69137633431252,4.57161340245925,7.05098944706805
1963,0.62057648772511,4.62005879848184,4.57574137529728,3.68135118769314,4.60416968565451,7.11801620446533
1964,0.672944473242426,4.65205377188694,4.54223038621422,3.6454498961866,4.63666885304746,7.13409372119287
1965,0.841567185678219,4.67749084756772,4.63181211693451,3.61091791264422,4.6269316777696,7.12367278520461
1966,1.05082162483176,4.716711560721,4.60517018598809,3.58629286533884,4.60517018598809,7.1693500166706
1967,1.25276296849537,4.74406218485471,4.78331637137157,3.56671182013973,4.63472898822964,7.16006920759613
1968,1.37624402526639,4.76983680754333,4.78498861256393,3.55820113047182,4.64631212931927,7.22183582528845
1969,1.43746264769429,4.80647704269313,4.829912458666,3.54095932403731,4.72738781871234,7.27447955877387
1970,1.51292701205326,4.85359154448657,4.89858579028763,3.54095932403731,4.88658264542628,7.32448997934853
1971,1.5953389880546,4.89858579028763,4.82269799851667,3.53514535417189,4.96703165661412,7.35372233039963
1972,1.68639895357023,4.97742315989014,4.77912349311153,3.53514535417189,5.17161971350208,7.42535788702715
1973,1.81319474994812,5.16421438202456,4.68675017298051,3.4626060097908,5.07454861983991,7.47816969415979
1974,1.83896107071235,5.46890366712357,4.68120487226409,3.43398720448515,5.20455598673356,7.52131798019924
